	0
0	2.1007928209813644
1	2.231445277535333
2	2.1654778378699144
3	2.2566550881772214
4	2.2384151121526474
5	2.063067197577576
6	2.1540098123401026
7	2.5125192837073844
8	2.2470796568986495
9	2.186651585715706
10	2.33699397528251
11	1.9977470868618858
12	1.522291115854021
13	2.1094413045915963
14	1.6227672799756623
15	2.2806456297806466
16	1.9251720296153487
17	1.6694050043322417
18	1.8115256499899481
19	2.0785248885245315
20	2.3321699918531404
21	2.3736591994418554
22	1.9398113267894783
23	1.9699155694942594
24	2.650859827354718
25	2.184068529657773
26	1.6136931958092162
27	2.207439745194987
28	1.945668161616725
29	2.097418990942286
30	2.1037988624792314
31	2.3450536602564824
32	2.568641697317169
33	2.405133361885492
34	1.8075239145722382
35	2.190716100112727
36	2.064612868222013
37	2.266491959144909
38	1.8527610033569972
39	1.9276334640492618
40	2.2371206968692965
41	2.1324655936920425
42	2.2627831582593556
43	2.1707269991405758
44	2.4365539961709435
45	1.9403667128635183
46	2.030702115992558
47	1.9000258359617928
48	1.8041499556685958
49	1.8953256182565907
50	2.2413517038468003
51	2.1533581606609555
52	1.8921992113930286
53	2.2800672746055937
54	2.099437348033047
55	2.073959460385109
56	2.11867607783348
57	1.6924537809093863
58	1.8558189231645748
59	2.1582581985413998
60	2.3822218976197997
61	2.4447598714982783
62	1.960676939844243
63	2.072004383519188
64	2.5411430051569592
65	2.1772887738732836
66	1.86324450616851
67	1.9569050729366964
68	2.040383757464145
69	1.9145830675203637
70	1.9149986389927403
71	2.5059581514585947
72	1.8049268928153426
73	2.346736474996311
74	2.226735376160756
75	1.917557237502754
76	2.5232140756818486
77	2.181023629753661
78	2.0644516462080023
79	2.1265455707017646
80	2.3252492933443314
81	1.241875085257024
82	2.048364276990536
83	2.1535841470963017
84	2.1519561931352627
85	2.189305870662618
86	2.3689139249409563
87	1.1943363215268736
88	2.1108524243031956
89	1.9515033317462125
90	2.3434248126955457
91	2.2872889341882376
92	2.6330031892211228
93	1.9167901812837436
94	2.516982314151654
95	2.215096381345186
96	1.9356494750777735
97	2.2612140726181
98	2.371211691328441
99	1.9517365513487763
100	2.257675352214501
101	2.5027098785015705
102	2.13955494278923
103	2.0883566724981892
104	2.07276844392508
105	2.2102243029803637
106	2.2075398666337644
107	2.590099672332831
108	2.088822839166153
109	2.5322218622249513
110	2.0789525712657975
111	2.201855302627112
112	2.1560990424562383
113	2.101307439701206
114	2.3902587586245505
115	1.264852683927506
116	1.1651409756199644
117	2.1212015938619033
118	2.2821913319954175
119	2.4935658573605677
120	2.2095908828902133
121	1.91353154000827
122	2.257522079505631
123	2.1694685777268288
124	2.2875396054975354
125	2.2107947018775436
126	2.0838340900019037
127	2.1659921769582384
128	2.2901862610778907
129	2.272553644441899
130	2.300182260011772
131	2.2615739371340484
132	1.858449839719446
133	2.3254941026979585
134	2.0793599029414
135	1.7871015946812858
136	2.2357885164140914
137	2.280261934141393
138	1.0298700617362118
139	2.1634713214501766
140	1.9969034688903589
141	2.0794299048360347
142	2.354490768115674
143	2.0960245882980875
144	1.8389958449944688
145	1.2496788370645155
146	2.046245862998269
147	1.8852115699151302
148	2.3095433319197585
149	2.2215472005290113
150	2.154190568528271
151	1.9430735884919528
152	1.226120841473248
153	2.438160177549581
154	2.4846190218803956
155	1.7000085630802155
156	2.0001875333525216
157	2.290549391093798
158	2.1966698460259635
159	2.189793967717306
160	2.383418258099658
161	2.017023745009695
162	1.9437042054138516
163	2.24499632856943
164	2.2800056690010484
165	2.22642514972044
166	1.4134615008325324
167	2.172313791253137
168	2.2886238652275956
169	2.2646668151627747
170	1.7984055490618578
171	2.094341494200022
172	2.2224458245056193
173	2.207778479933983
174	1.9590539242350786
175	1.9480566466754636
176	2.5998359673839397
177	1.9019351157512465
178	2.2599257643578774
179	2.1626638469102994
180	2.100813891370576
181	2.4092581348579953
182	2.1095357473466545
183	2.0048728396464512
184	2.392446325618457
185	2.1057557492523356
186	1.1092853540472738
187	2.1212662641218016
188	2.0860173544032854
189	1.8054133024226162
190	1.9685366135988613
191	2.1473804974512554
192	1.979671050835372
193	1.6178279404790223
194	2.1717156625380873
195	2.1065290455712105
196	2.3048910284413084
197	1.8185976556932268
198	1.392559553972431
199	2.4423607932145606
200	2.0888911618348223
201	2.0184901493997787
202	2.577733160390842
203	2.356059756026864
204	2.20513222371202
205	2.250338109070596
206	2.027625293690334
207	2.061409669586767
208	2.0744718697702034
209	2.0648082439578044
210	1.7932029418151167
211	2.1097514610177677
212	1.6919465914900895
213	1.8633590438764769
214	1.932577385652093
215	2.079790018850192
216	2.211502585567625
217	1.9460832696119181
218	1.4502928350818205
219	1.9999198090295287
220	1.9642264457670797
221	2.2546969245048487
222	2.0338341567190823
223	2.3792036583045832
224	2.0352626874564104
225	1.971306780150399
226	2.6963169210168663
227	2.2724289634948125
228	2.1558492750486624
229	1.8537271866967298
230	1.8285724509135453
231	2.025100342087246
232	2.042246855604969
233	2.1720782002733667
234	1.8434446344917454
235	1.819530085681759
236	2.2251610232317365
237	1.8616780290362094
238	2.1044538773020385
239	2.04498120152991
240	2.0803310443537524
241	1.9720761263249769
242	1.9957769780025867
243	2.0693684689126153
244	2.0660642338586936
245	2.5009416033999194
246	2.249376383708224
247	2.073337094094379
248	2.0900521148193167
249	2.1352200167091104
250	2.308312983528997
251	2.256471057424375
252	2.358139423029108
253	2.0914252734949774
254	2.130745703243072
255	2.449295163170434
256	1.9000041584566942
257	2.062661196887373
258	2.245223601971726
259	2.574105525838662
260	2.31975913813532
261	2.368136661362301
262	2.0994171751834814
263	2.521709438429675
264	2.30971940620855
265	2.088747800132904
266	1.966002898783616
267	2.4297845357168493
268	2.6003245307713616
269	2.1234973121256955
270	2.095913939359666
271	2.0701931877107764
272	2.0608124815725994
273	2.1367611528433432
274	1.493861210350221
275	1.7116078520278744
276	2.194601401763415
277	2.28042480475258
278	2.5642729326105935
279	1.7585786808916761
280	2.148481315790113
281	2.3398176474209755
282	2.09912927694061
283	2.3249732034288915
284	2.1879500357642048
285	1.7079678098203284
286	2.473243039136879
287	2.2204144638720127
288	2.2075401526226255
289	1.8271394924598439
290	2.1402911266833735
291	1.9096169217735206
292	2.276549623556628
293	2.322872140992162
294	1.8132472424311459
295	1.9543815278632906
296	2.144030670376242
297	1.637186209883006
298	2.18752453944342
299	1.7043635063213423
300	2.627213730658396
301	1.9259770263401763
302	2.037320332461144
303	2.6314327953275445
304	2.5620120191656346
305	2.4214292299275826
306	1.929096848105923
307	2.177470935885609
308	2.3003880744190637
309	2.530583388219879
310	2.5431681631621275
311	2.5256441879845095
312	2.140719900523803
313	1.9121373498123968
314	2.095305875415119
315	2.356227702061621
316	2.2281577830437063
317	1.9809185263370443
318	1.7014630131520223
319	1.9768922783867686
320	2.5048083349889505
321	2.136886912914689
322	2.527861840961807
323	1.9700326692527856
324	1.853827505718856
325	2.44151829041893
326	2.30710817903068
327	1.5644275130169847
328	2.4674047452295995
329	2.2610902575809275
330	2.2855912700137453
331	1.512495015482852
332	1.8593527380029753
333	2.1753707108939455
334	2.274304923083372
335	2.115366224850346
336	1.0883617075794492
337	2.2245735450001285
338	2.024302496238604
339	2.2171269843591306
340	2.589249423575015
341	2.1945790316665486
342	2.6405088897138995
343	1.708577303082042
344	2.0603224676854213
345	2.149259758528832
346	1.1267094737175847
347	1.8754241796382631
348	2.3028679093758617
349	2.4634074498238916
350	1.766623583026504
351	2.563785608057587
352	2.035030244315463
353	1.8417440857734573
354	1.8178986309840341
355	1.8999662223014977
356	1.8023094581064365
357	2.0890397439185158
358	2.524338912266659
359	2.1609856798863856
360	2.1088174282769954
361	2.3347750233503497
362	2.1516474432121306
363	1.126846118749601
364	1.6897681718991162
365	2.431347250720575
366	2.5445826987272295
367	2.253113968196985
368	2.1858021311500506
369	2.0988645019293837
370	2.4933126983145724
371	1.8406491165554584
372	2.449956506800444
373	2.0482665538932894
374	2.4121874536658026
375	2.088317944402928
376	1.8999522127289614
377	2.151209837577546
378	2.1605255333482116
379	2.156770066420081
380	2.0848267961515297
381	2.6790985634436555
382	2.1031208381251782
383	1.9721937159318235
384	1.74084681632166
385	1.6982359625188876
386	1.7230935133435323
387	2.5134049667814886
388	2.528282168373968
389	1.9003490140473507
390	2.580787429612965
391	2.2883913699956544
392	1.6309359757797743
393	1.7739959271353745
394	2.1107765387560087
395	2.0778991688590938
396	2.5825724662094585
397	2.00867937707744
398	2.446537854962486
399	1.7978678591571944
400	1.8710759121167901
401	2.2820962838236656
402	2.5563982330208526
403	2.5931629293761413
404	2.1865215986796427
405	1.877523909621383
406	1.9472557591693993
407	2.162775463354692
408	1.687614599885842
409	1.6165329597724747
410	2.078237171754986
411	2.1265463749659492
412	2.1614434061422143
413	2.1040602703232687
414	2.096052677860415
415	2.0757603757001593
416	2.228069560505036
417	2.517987847922246
418	2.1110496776396803
419	2.30090708046597
420	2.0538139727629843
421	2.190083773243568
422	2.624321299492642
423	2.2323287210444995
424	2.2964393755550137
425	2.521577768809004
426	1.6712736605367322
427	2.376881816625273
428	2.3299827492212697
429	1.9490845941546162
430	2.1474813474408716
431	2.0446306846525077
432	2.165912856303172
433	1.9583358075918804
434	2.008088518055113
435	2.2835934412255505
436	2.5818301005945035
437	2.157582361727269
438	1.9439760819889955
439	2.31353587413382
440	2.3023841455463785
441	2.2179152819304546
442	1.859297787000143
443	2.416830677402127
444	1.95121157538065
445	1.74685625107922
446	1.962059263895616
447	2.0747401128549847
448	2.548923644897292
449	2.212794396188387
450	2.217985206160732
451	1.6090410166173439
452	1.8289662604886807
453	2.2951570308551728
454	2.336578090514577
455	2.273420559072926
456	2.4199884820687716
