	sigma	sigma_std	nu	nu_std
CDX01	0.6031336641109368	0.8582345073740109	0.049309571560246714	0.001677153354515904
CDX01.1	0.5850485568022398	0.8326593163988558	0.05019540671864496	0.0016137016536274798
CDX01.2	0.5887384793879535	0.837877443182593	0.0598357813605918	0.0020070641808866752
CDX02	0.33519330265286584	0.4793359358066311	0.027354347243943835	0.001140681964931074
CDX02.1	0.289407878963213	0.4145950050487124	0.037061350051888056	0.0011414019618752195
CDX02.2	0.29265073630508565	0.419180331136675	0.024365941552958008	0.0011653933990045289
CDX03	0.480360702738355	0.6846157080204219	0.05368402028207753	0.0015461115438952912
CDX03.1	0.4805614946883085	0.6848996534753439	0.04127461470278204	0.0014051633263821607
CDX03.2	0.5204550486853914	0.7413144983706337	0.04941402394349638	0.0014448622174083534
CDX03.3	0.6697357536334515	0.9524208292467582	0.08399094240122867	0.001985379668466272
CDX03P	0.5475243547897473	0.7795943978960906	0.05276589467035915	0.0017810262194747674
CDX03P.1	0.5840978915919884	0.8313149277644141	0.055350953137768444	0.0016733501349804286
CDX03P.2	0.5354783208365886	0.7625595464108742	0.05158445726360327	0.002116800486368037
CDX03P.3	0.47946513350079284	0.6833492589469133	0.04540054938742948	0.0015564447194780454
CDX04	0.4047343102293565	0.5776715608241431	0.023896216727295524	0.0011276008657156193
CDX04.1	0.625235845604198	0.8894905541735842	0.06382162609470853	0.0023948316171417566
CDX04.2	0.4506055761041136	0.6425383310233438	0.030505748425446736	0.0012292849200340017
CDX04.3	0.42943530812266145	0.6126012229320904	0.022248748225256732	0.0018299574140501615
CDX07	0.3530579441566931	0.504597342966214	0.025133513916879152	0.001491327065599054
CDX07.1	0.3690079302878706	0.5271515900912044	0.02141043340126627	0.0009753104499777549
CDX07.2	0.3652454109211215	0.5218311402604497	0.027346482416070326	0.0010091791106942095
CDX08	0.6162768978743088	0.8768211481150041	0.050961685219747845	0.00202090385479174
CDX08.1	0.6176271340540485	0.878730600348163	0.05175643768604503	0.0022005897384689984
CDX08.2	0.626283531708147	0.8909721532193452	0.0588323815180133	0.001824332665299592
CDX08P	0.5556223266870408	0.7910461329202036	0.04690035450629066	0.001740583124819293
CDX08P.1	0.5743923655710594	0.8175898132174759	0.042788258738224685	0.0015765204626058539
CDX08P.2	0.5612098029627588	0.7989476631812193	0.04569931740388376	0.0017820735078864967
CDX09	0.4721185887567995	0.6729603192319367	0.04941188051422069	0.0012640002372703457
CDX09.1	0.4743218288773315	0.6760759761962649	0.04464307103977622	0.001465276094185391
CDX09.2	0.46926577818524434	0.6689260911884115	0.04460388118180612	0.001379972370068102
CDX10	0.41413024351611893	0.5909583027943113	0.039158916940479245	0.0014952647659853039
CDX10.1	0.617927022240176	0.8791546907641627	0.03487084649041197	0.0019736597328402707
CDX10.2	0.6462245693053901	0.9191720659525685	0.0497318718253695	0.002220695477768235
CDX12	0.4107412628319643	0.5861659563347342	0.04811302047655532	0.0017090287241477175
CDX12.1	0.4879639614300985	0.6953676965974224	0.029244077579217893	0.0016504403292332329
CDX12.2	0.3024504602269444	0.43303701769922714	0.010398510100772895	0.0008128137550426685
CDX13	0.9938214572274547	1.4107376335015336	0.13614658887914846	0.00314714686247961
CDX13.1	1.028924614184792	1.460380319124683	0.15264710186372776	0.00460000618089106
CDX13.2	0.9825863868954019	1.394849070939762	0.14015489773210058	0.003559293740593263
CDX14P	0.45528093198905994	0.6491498305002982	0.03933662560203176	0.0016498637413403059
CDX14P.1	0.47164690513719587	0.6722932998659338	0.03788882901450059	0.001653843625334217
CDX14P.2	0.39505973156740876	0.5639908437393084	0.029017916841478884	0.001275314555275649
CDX15P	0.2820075786165026	0.404131216576227	0.02429837258042456	0.0009488745283425723
CDX15P.1	0.31161562387076475	0.44599657162805956	0.029758291918061373	0.0010046460899838143
CDX15P.2	0.30528438964283156	0.4370441851467086	0.028506835127948466	0.0009301077621072539
CDX15PP	0.33649178254103107	0.4811720339178907	0.027229474275652768	0.0009341086005538317
CDX15PP.1	0.30022157368749214	0.4298853872555912	0.018083287388755732	0.0008672658432914331
CDX15PP.2	0.3164981342000284	0.45290049443625335	0.01640434149050986	0.0012102168888932588
CDX17	0.5191373529998949	0.7394510918319522	0.036175906244737696	0.0015830564618518942
CDX17.1	0.6165797047831206	0.8772493660080312	0.05531087559232792	0.0017753067156713496
CDX17.2	0.5595220705608821	0.7965609554467628	0.047789430238418674	0.0018321432356475631
CDX17P	0.6364074710624702	0.9052890638644929	0.06781125583841562	0.0020933457744486067
CDX17P.1	0.7359171501781792	1.0460128087833305	0.08278436595494391	0.002158318386419833
CDX17P.2	0.5238295662575084	0.7460865418081536	0.06551629142377718	0.0014652549917205787
CDX17P.3	0.5818335210406246	0.8281127559503838	0.07730111042777206	0.001583398260360423
CDX17P.4	0.5281925450212405	0.7522564133547988	0.06640249193449531	0.0016921074304960784
CDX17P.5	0.5461555428631425	0.7776586960809774	0.07451973154058235	0.0015699664926815506
CDX18	0.287817656559653	0.4123464733480597	0.014987787653407412	0.0008122625545710997
CDX18.1	0.29374881029323335	0.42073298651828145	0.011479946196658987	0.0008060864820213094
CDX18.2	0.2872907352376925	0.41160142171912406	0.011118834566317586	0.0007996625795152226
CDX18P	0.3020612504343335	0.4324866771645455	0.013926403989765005	0.0009267731960518674
CDX18P.1	0.2933453756124709	0.4201625374571184	0.010804833583684987	0.0010054105266504216
CDX18P.2	0.28974837543653154	0.4150764584549883	0.010633436040198225	0.0009595311605579684
CDX20	0.38729875652508217	0.5530161767155587	0.02730739111945125	0.0013291303824837012
CDX20.1	0.35389960975754253	0.5057875035859615	0.026148913531427207	0.001210893934598984
CDX20.2	0.3888930673486961	0.5552706620824093	0.030062368800126516	0.0011118139448078883
CDX20P	0.3737833805124071	0.5339044070535689	0.02571258139845049	0.0010456121430649687
CDX20P.1	0.37891549347707515	0.5411615893683547	0.023283063251824523	0.0011551365529779126
CDX20P.2	0.35913077981647334	0.5131846748555611	0.02281600579422589	0.0014256374903435795
CDX22P	0.5470387284199734	0.7789076505799211	0.05264230862253851	0.002226220524392355
CDX22P.1	0.5591755757243996	0.7960709596569363	0.05208648270601903	0.0016684523878063564
CDX22P.2	0.5618852327575155	0.7999028227891389	0.06285065751422211	0.001712975911077604
CDX25	0.6734945989471657	0.9577364747913979	0.0410001276438991	0.0019400237365767218
CDX25.1	0.6815799922481555	0.9691706000416527	0.04655224116104276	0.0023582177161127096
CDX25.2	0.6770363306898601	0.9627450865599679	0.0467402986270976	0.0018322609223481807
CDX26	0.44092277189998397	0.6288457453226921	0.036219614736207134	0.0012460126829878604
CDX26.1	0.4368423401332612	0.6230755639718162	0.03305667300831965	0.0013118239524913147
CDX26.2	0.4286017093234144	0.6114224261582877	0.03492972977693192	0.0014738369599633454
CDX29	0.6429913508255625	0.9145997581796919	0.056156563182039064	0.0017227791208175804
CDX29.1	0.6438119224016816	0.9157601824887444	0.05851581232865877	0.002251558872277669
CDX29.2	0.7255509969048557	1.0313532370757104	0.08197050312265218	0.0020637074647339685
CDX30P	0.6459264252600238	0.9187504407039401	0.050533593460240375	0.0018422550079831952
CDX30P.1	0.6486651528593282	0.9226234573517534	0.04642954828004982	0.002218844087061927
CDX30P.2	0.6602635617192193	0.939025549806329	0.053039340395826785	0.002472192536382557
CDX32P	0.5327813883636742	0.758745695045774	0.0319606367608237	0.001701532082391935
CDX32P.1	0.5176692311485492	0.7373749621769603	0.026713166691894108	0.001760449304193606
CDX32P.2	0.5568665192070216	0.79280560730528	0.04577862170672058	0.0016112184943668515
CDX33	0.5125859143965824	0.7301864460702889	0.041046153360587374	0.0017300449342820222
CDX33.1	0.5034355776699256	0.7172466181441799	0.04236027605322859	0.0014896091601883511
CDX33.2	0.4825758671794669	0.6877482341788761	0.04088315948773006	0.0016679471067900086
CDX34	0.43534260018270654	0.6209547679791033	0.045783251850341614	0.001222900251011365
CDX34.1	0.4533632703677768	0.6464380317759942	0.04533632703677768	
CDX34.2	0.4085212539450905	0.5830266526499859	0.047274305141810836	0.0014467477011435763
CDX35	0.4000707830426452	0.5710769101186034	0.03543356960306473	0.001154197544369977
CDX35.1	0.4048097797387608	0.5777782816695759	0.029105219748094335	0.0011831377324591616
CDX35.2	0.41321424321389705	0.5896629891278113	0.03473493007373611	0.0012725224910568763
CDX38	0.4431356400733482	0.6319749886784889	0.03009495084065547	0.001370539422053824
CDX38.1	0.49019528583890776	0.6985230809569961	0.02915265498478704	0.0015375211113716227
CDX38.2	0.43599159767083334	0.6218725211346428	0.02964572438454526	0.0014143187792020771
CDX39P	0.41679344121157047	0.5947243264712548	0.014564560091246282	0.00116801235354811
CDX39P.1	0.4175383837010043	0.5957777491814902	0.01593737704351662	0.0012077358588755203
CDX39P.2	0.4443643648044803	0.6337125439945994	0.014835883820660579	0.001212810513296615
CDX40	0.39189407185226255	0.5595143315858815	0.024215538858844372	0.0012408404574401947
CDX40.1	0.47892243483527597	0.6825818139893427	0.0269291378000314	0.001698537832229394
CDX40.2	0.3954135584160328	0.5644911854132864	0.020965127858224207	0.0011230258676648043
CDX41P	0.4619842669896599	0.6586291454886403	0.057273923969385444	0.001267322099631426
CDX41P.1	0.4339545744581751	0.6189919490687035	0.049528593183491426	0.0013465879342456633
CDX41P.2	0.37990522708054897	0.5425611471862949	0.05157736536543235	0.0010064570804202537
CDX42	0.40695623325597596	0.5808135663051646	0.0406955239494239	0.0011712306898085973
CDX42.1	0.39649188991725615	0.5660160396397446	0.03211887358102063	0.001109971387874125
CDX42.2	0.4010760605506792	0.5724984626178897	0.03620353715809175	0.001258096761845579
CDX42P	0.3747937395648388	0.5353331269203382	0.032181877133291764	0.0011055476888335554
CDX42P.1	0.3709238577341248	0.5298608418817143	0.028893084492051736	0.001089065018480546
CDX42P.2	0.3857734655444085	0.5508592926737443	0.028029674938966506	0.001122525135191328
CDX45	0.33268937948785055	0.4757953018798046	0.02255291236688771	0.0009708289527156798
CDX45.1	0.32532357544377016	0.4653798407483779	0.017825525604339292	0.0010492216469758268
CDX45.2	0.31502899616080604	0.4508231139760863	0.020789127644131992	0.0008878513300125895
CDX46	0.4152779617054199	0.5925812887960564	0.031969005654732915	0.0013280536153018286
CDX46.1	0.42637230428624767	0.6082698136372191	0.03143153793676373	0.0014992407502501344
CDX46.2	0.4281472338890344	0.6107797500265058	0.04460740398079285	0.0011865220911054125
